Mon Mar 23 2020 00:58:13 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: user created successfully : backend
Mon Mar 23 2020 00:58:13 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Mon Mar 23 2020 00:58:13 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\notification.js getMyNotifications() | msg: The user 2 has asked for his notifications 
Wed Mar 25 2020 22:07:41 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: login successfully : khouya
Wed Mar 25 2020 22:08:31 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: password incorrect for : khouya
Wed Mar 25 2020 22:08:38 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: try to get unexcited user
Wed Mar 25 2020 22:17:26 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: login successfully : khouya
Wed Mar 25 2020 22:19:29 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signup() | msg: user created successfully : backend
Wed Mar 25 2020 22:19:29 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 22:19:29 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\notification.js getMyNotifications() | msg: The user 2 has asked for his notifications 
Wed Mar 25 2020 22:20:15 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: login successfully : myahya
Wed Mar 25 2020 22:25:33 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\notification.js getMyNotifications() | msg: The user 2 has asked for his notifications 
Wed Mar 25 2020 22:39:32 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\notification.js getMyNotifications() | msg: The user 2 has asked for his notifications 
Wed Mar 25 2020 23:13:29 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: password incorrect for : khouya
Wed Mar 25 2020 23:13:53 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: password incorrect for : khouya
Wed Mar 25 2020 23:19:37 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:19:56 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:19:58 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
